"filename", "language", "Python", "JavaScript", "Markdown", "JSON", "Jupyter (JSON)", "Vue", "XML", "HTML", "SQL", "Excel", "Ini", "comment", "blank", "total"
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-copyright.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-home.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-paper-plane.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-phone.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\fas-fa-sync-alt.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\iconPark-double-right Copy 2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\iconPark-double-right.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\md-date_range.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\assets\icon\md-input.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\graduation_project\graduationProject\src\components\Example.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"d:\graduation_project\graduationProject\src\components\Home.vue", "Vue", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 17, 7, 142
"d:\graduation_project\graduationProject\src\components\InventorCard.vue", "Vue", 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 23, 10, 267
"d:\graduation_project\graduationProject\src\components\Ipc.vue", "Vue", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 11, 10, 138
"d:\graduation_project\graduationProject\src\components\Search.vue", "Vue", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 16, 8, 155
"d:\graduation_project\graduationProject\src\components\homeSub\IpcCard.vue", "Vue", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 4, 52
"d:\graduation_project\graduationProject\src\components\homeSub\IpcInventorPage.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 14
"d:\graduation_project\graduationProject\src\components\inventorPage\Inventor.vue", "Vue", 0, 0, 0, 0, 0, 670, 0, 0, 0, 0, 0, 78, 27, 775
"d:\graduation_project\graduationProject\src\components\ipcSub\IpcMain.vue", "Vue", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 22, 4, 127
"d:\graduation_project\graduationProject\src\main.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 55
"d:\graduation_project\graduationProject\src\router\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 45
"d:\graduation_project\graduationProject\test\e2e\custom-assertions\elementCount.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 28
"d:\graduation_project\graduationProject\test\e2e\nightwatch.conf.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"d:\graduation_project\graduationProject\test\e2e\runner.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 49
"d:\graduation_project\graduationProject\test\e2e\specs\test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"d:\graduation_project\graduationProject\test\unit\jest.conf.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 31
"d:\graduation_project\graduationProject\test\unit\setup.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\graduation_project\graduationProject\test\unit\specs\HelloWorld.spec.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\graduation_project\package-lock.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\graduation_project\patent_score\test.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 77
"d:\graduation_project\test.ipynb", "Jupyter (JSON)", 0, 0, 0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 1, 642
"d:\graduation_project\webpage_design\inventor_page.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"Total", "-", 859, 705, 118, 16319, 641, 1680, 45, 11, 111, 20243, 6, 532, 573, 41843
